,start_datetime,end_datetime,start_frequency,end_frequency,flare_location,flare_region,flare_classification,cme_date,cme_time,cme_angle,cme_width,cme_speed,isHalo,rank,x_classification,region,max_datetime
265,2004-08-08 09:15:00,2004-08-08 09:22:00,14000,7000,BACK,,,08/08,08:54,,360,1004,True,,,,
270,2004-11-01 05:55:00,2004-11-01 07:25:00,3000,400,W90b,,,11/01,06:06,266,146,925,False,,,,
289,2005-02-01 11:40:00,2005-02-01 11:50:00,8000,4000,BACK,,,02/01,11:06,,360,1380,True,,,,
291,2005-05-03 00:20:00,2005-05-03 01:10:00,14000,1500,S05E90,10758,,05/03,00:26,82,66,978,False,,,,
294,2005-05-17 03:20:00,2005-05-17 03:35:00,4500,1500,BACK,,,05/17,03:06,252,89,311,False,,,,
301,2005-07-17 11:50:00,2005-07-17 13:45:00,7000,300,BACK,,,07/17,11:30,,360,1527,True,,,,
302,2005-07-24 13:50:00,2005-07-24 22:30:00,14000,150,BACK,,,07/24,13:54,,360,2528,True,,,,
303,2005-07-24 22:35:00,2005-07-24 22:40:00,1000,700,BACK,,,07/24,22:30,,360,1234,True,,,,
305,2005-07-27 07:45:00,2005-07-27 08:30:00,2500,1000,NE90b,,,07/27,07:54,65,51,533,False,,,,
311,2005-08-29 11:10:00,2005-08-29 11:14:00,10000,6000,BACK,,,08/29,10:54,,360,1600,True,,,,
313,2005-08-31 22:10:00,2005-08-31 23:00:00,14000,6000,BACK,,,08/31,22:30,,360,1808,True,,,,
314,2005-09-03 03:20:00,2005-09-03 05:15:00,2000,500,BACK,,,09/03,03:12,,360,1672,True,,,,
325,2006-11-05 17:35:00,2006-11-05 19:20:00,14000,400,E90b,,,11/05,17:54,39,196,1398,False,,,,
326,2006-11-06 10:35:00,2006-11-06 11:05:00,14000,6000,E90b,,,11/06,10:30,77,55,829,False,,,,
342,2011-01-13 09:15:00,2011-01-13 10:05:00,16000,3500,E90b,,,01/13,09:36,79,122,664,False,,,,
352,2011-06-04 07:00:00,2011-06-04 13:45:00,16000,300,W90b,11222,,06/04,06:48,,360,1407,True,,,,
353,2011-06-04 22:00:00,2011-06-07 01:30:00,16000,25,W90b,11222,,06/04,22:05,,360,2425,True,,,,
368,2011-12-21 03:00:00,2011-12-21 08:15:00,16000,400,BACK,,,12/21,03:12,,360,1064,True,,,,
370,2012-01-02 15:00:00,2012-01-02 15:45:00,16000,4000,BACK,,,01/02,15:12,,360,1138,True,,,,
379,2012-03-18 00:20:00,2012-03-18 01:20:00,16000,200,BACK,,,03/18,00:24,,360,1210,True,,,,
380,2012-03-24 00:40:00,2012-03-24 10:40:00,16000,300,BACK,,,03/24,00:24,,360,1152,True,,,,
381,2012-03-26 23:15:00,2012-03-26 23:55:00,16000,1500,BACK,,,03/26,23:12,,360,1390,True,,,,
382,2012-03-27 21:45:00,2012-03-27 22:30:00,4000,1500,BACK,,,03/27,22:00,261,101,622,False,,,,
393,2012-07-23 02:30:00,2012-07-23 21:40:00,16000,20,S17W132,11520,,07/23,02:36,,360,2003,True,,,,
413,2013-09-06 22:29:00,2013-09-06 22:34:00,5000,2000,N10E104,DIM,,09/06,20:48,90,182,734,False,,,,
416,2013-10-05 07:00:00,2013-10-05 14:46:00,16000,200,S22E118,11865,,10/05,07:09,,360,964,True,,,,
417,2013-10-11 07:23:00,2013-10-11 11:43:00,14000,100,N21E103,11869,,10/11,07:24,,360,1200,True,,,,
418,2013-10-13 18:47:00,2013-10-14 05:15:00,2100,600,,,,10/13,14:12,220,83,293,False,,,,
426,2013-11-04 05:10:00,2013-11-04 08:00:00,16000,450,N03W165,11875,,11/04,05:12,,360,1040,True,,,,
427,2013-11-07 10:26:00,2013-11-07 20:40:00,16000,100,N02E151,11899,,11/07,10:36,,360,1405,True,,,,
429,2013-11-29 22:18:00,2013-11-30 09:20:00,1800,100,N06W183,11899,,11/29,17:24,251,188,465,False,,,,
430,2013-12-05 12:45:00,2013-12-05 13:00:00,4200,1600,S20E119,DIM,,12/05,10:24,133,148,549,False,,,,
431,2013-12-05 20:48:00,2013-12-05 21:35:00,14000,2500,,,,,,,,,False,,,,
434,2013-12-20 08:23:00,2013-12-20 13:24:00,1500,400,,,,12/20,04:36,255,26,337,False,,,,
435,2013-12-28 17:31:00,2013-12-28 18:05:00,16000,500,S15W125,11928,,12/28,17:36,,360,1118,True,,,,
436,2014-01-04 17:41:00,2014-01-04 18:47:00,9000,100,,,,,,,,,False,,,,
437,2014-01-04 19:03:00,2014-01-05 09:00:00,6500,100,,,,,,,,,False,,,,
438,2014-01-06 07:57:00,2014-01-06 22:30:00,14000,80,S15W112,11936,,01/06,08:00,,360,1402,True,,,,
441,2014-02-18 02:16:00,2014-02-18 02:51:00,2000,900,S24W43,EP,,02/18,01:36,,360,779,True,,,,
444,2014-03-04 18:24:00,2014-03-04 20:10:00,16000,2000,N13W170,12005,,03/04,18:48,,360,794,True,,,,
445,2014-03-05 13:33:00,2014-03-05 17:10:00,16000,500,N14E180,,,03/05,13:48,,360,828,True,,,,
446,2014-03-25 07:52:00,2014-03-25 11:30:00,1700,400,S23W130,EP,,03/25,05:36,261,223,651,False,,,,
